entry_datetime,entry_price,exit_datetime,exit_price
2010-04-27 11:15:00,3138,2010-05-24 10:00:00,2866
2010-06-01 13:00:00,2758,2010-06-03 13:00:00,2808
2010-06-29 11:15:00,2698,2010-07-06 13:00:00,2592
2010-08-25 14:30:00,2870,2010-08-30 09:30:00,2910
2010-09-15 14:45:00,2930,2010-09-27 10:30:00,2898
2010-11-12 13:30:00,3412,2010-11-25 14:15:00,3256
2010-12-28 10:15:00,3130,2010-12-31 10:15:00,3154
2011-01-17 09:30:00,3106,2011-01-19 13:45:00,3042
2011-02-22 14:45:00,3202,2011-02-28 14:45:00,3268
2011-03-15 11:00:00,3160,2011-03-16 13:45:00,3254
2011-04-19 11:15:00,3316,2011-06-24 13:15:00,3038
2011-07-12 15:00:00,3068,2011-07-13 14:00:00,3116
2011-07-25 13:00:00,3016,2011-08-10 09:30:00,2844
2011-08-19 09:30:00,2810,2011-08-23 10:45:00,2812
2011-09-02 13:30:00,2800,2011-09-07 13:30:00,2780
2011-09-20 09:15:00,2676,2011-09-21 11:00:00,2726
2011-10-20 13:00:00,2524,2011-10-24 13:30:00,2572
2011-11-16 13:00:00,2694,2011-12-01 10:15:00,2598
2011-12-13 10:45:00,2468,2011-12-20 09:15:00,2396
2011-12-22 10:45:00,2320,2011-12-22 14:15:00,2368
2012-01-06 13:15:00,2280,2012-01-09 09:15:00,2298
2012-03-23 15:00:00,2572,2012-04-05 11:15:00,2506
2012-05-15 09:15:00,2598,2012-05-29 10:00:00,2604
2012-06-05 09:15:00,2554,2012-09-07 13:00:00,2366
2012-09-17 14:30:00,2296,2012-09-27 13:30:00,2284
2012-10-26 09:45:00,2304,2012-11-01 10:00:00,2282
2012-11-09 09:15:00,2250,2012-12-05 10:30:00,2198
2013-02-21 13:30:00,2616,2013-02-25 09:30:00,2630
2013-03-04 14:30:00,2560,2013-03-06 09:30:00,2654
2013-03-13 11:15:00,2532,2013-03-15 11:15:00,2578
2013-03-28 10:45:00,2518,2013-04-02 10:00:00,2526
2013-04-15 10:45:00,2432,2013-04-19 09:30:00,2470
2013-05-14 11:00:00,2486,2013-05-16 10:00:00,2488
2013-06-07 13:30:00,2490,2013-07-04 13:45:00,2198
2013-07-19 14:45:00,2168,2013-07-23 09:30:00,2192
2013-07-29 09:45:00,2144,2013-08-01 10:00:00,2230
2013-09-26 10:30:00,2406,2013-10-29 10:30:00,2398
2013-11-07 10:00:00,2344,2013-11-12 10:00:00,2336
2013-12-11 13:45:00,2430,2013-12-13 11:15:00,2428
2013-12-17 10:00:00,2370,2013-12-19 11:15:00,2372
2013-12-20 14:30:00,2308,2013-12-31 09:45:00,2336
2014-01-06 09:45:00,2262,2014-01-08 09:45:00,2262
2014-01-30 15:00:00,2210,2014-02-10 10:15:00,2260
2014-02-21 13:45:00,2264,2014-03-03 11:15:00,2182
2014-03-06 10:45:00,2130,2014-03-07 10:00:00,2174
2014-03-10 09:45:00,2102,2014-03-13 09:30:00,2094
2014-03-21 10:15:00,2054,2014-03-21 13:15:00,2088
2014-04-22 13:00:00,2174,2014-04-23 09:45:00,2186
2014-04-28 10:45:00,2138,2014-04-29 14:15:00,2154
2014-05-19 10:30:00,2094,2014-05-21 10:00:00,2104
2014-06-19 14:15:00,2132,2014-06-30 10:15:00,2164
2014-07-09 15:00:00,2136,2014-07-14 13:15:00,2158
2014-10-27 09:45:00,2380,2014-10-29 09:30:00,2436
